device or commodity name,price in 2023 usd,cost unit enum,sensitivity +/- %,Description
Scrap,250,PerTonne,5,
Ore,100,PerTonne,5,
CaO,0.08,PerKilo,5,
MgO,1.02,PerKilo,5,
H2,3,PerKilo,5,
O2,0.1,PerKilo,5,
H2O,0,PerKilo,5,
C,0.13,PerKilo,5,Carbon. Injected for slag foaming and alloy.
Labour,60,PerTonneOfProduct,5,
Cheap Spot Electricity,54.5,PerMegaWattHour,5,Electricity spot price when renewables are abundant
Expensive Spot Electricity,113.1,PerMegaWattHour,5,"Electricity spot price for all other times. For a constant electricity price, remove the ‘Spot Electricity’ entries and set one entry of ‘Base Electricity'"
Electrolyser,1000,PerKiloWattOfCapacity,5,
Salt Caverns,999,PerKiloOfCapacity,5,
Compressed Gas Vessels,999,PerKiloOfCapacity,5,
Gas Heat Exchanger,999,PerDevice,5,
Condenser and Scrubber,999,PerDevice,5,
Ore Heater,999,PerDevice,5,
Gas Heater,999,PerDevice,5,
Briquetting,999,PerDevice,5,
Fluidized Bed,999,PerDevice,5,
EAF,333,PerTonneOfAnnualCapacity,5,
BOF,333,PerTonneOfAnnualCapacity,5,
Plasma Smelter,333,PerTonneOfAnnualCapacity,5,
